"","city","latitude","longitude"
"615","Hyampom",40.63,-123.47
"616","Hydesville",40.56,-124.08
"617","Idlewild",35.81,-118.67
"618","Idyllwild-Pine Cove",33.74,-116.73
"619","Imperial Beach city",32.57,-117.12
"620","Imperial city",32.84,-115.57
"621","Independence",36.83,-118.21
"622","Indian Falls",40.06,-120.98
"623","Indian Wells city",33.7,-116.34
"624","Indianola",40.81,-124.08
"625","Indio city",33.73,-116.24
"626","Indio Hills",33.84,-116.25
"627","Industry city",34.02,-117.93
"628","Inglewood city",33.96,-118.34
"629","Interlaken",36.95,-121.74
"630","Inverness",38.08,-122.85
"631","Inyokern",35.65,-117.82
"632","Ione city",38.36,-120.94
"633","Iron Horse",39.78,-120.48
"634","Irvine city",33.68,-117.77
"635","Irwindale city",34.11,-117.96
"636","Isla Vista",34.41,-119.86
"637","Isleton city",38.16,-121.61
"638","Ivanhoe",36.39,-119.22
"639","Jackson city",38.35,-120.77
"640","Jacumba",32.63,-116.18
"641","Jamestown",37.96,-120.41
"642","Jamul",32.72,-116.87
"643","Janesville",40.28,-120.53
"644","Jenner",38.45,-123.12
"645","Johannesburg",35.37,-117.64
"646","Johnstonville",40.38,-120.58
"647","Johnsville",39.77,-120.71
"648","Joshua Tree",34.12,-116.31
"649","Julian",33.07,-116.59
"650","Junction City",40.73,-123.06
"651","June Lake",37.77,-119.1
"652","Keddie",40.01,-120.95
"653","Keeler",36.48,-117.87
"654","Keene",35.23,-118.61
"655","Kelly Ridge",39.53,-121.47
"656","Kelseyville",38.97,-122.83
"657","Kennedy",37.93,-121.25
"658","Kennedy Meadows",36.01,-118.11
"659","Kensington",37.91,-122.28
"660","Kentfield",37.95,-122.55
"661","Kenwood",38.42,-122.54
"662","Kerman city",36.73,-120.06
"663","Kernville",35.75,-118.43
"664","Keswick",40.61,-122.46
"665","Kettleman City",36.01,-119.96
"666","Keyes",37.56,-120.91
"667","King City city",36.22,-121.13
"668","Kings Beach",39.25,-120.02
"669","Kingsburg city",36.52,-119.56
"670","Kingvale",39.32,-120.44
"671","Kirkwood",38.69,-120.06
"672","Klamath",41.53,-124.01
"673","Knights Landing",38.8,-121.72
"674","Knightsen",37.96,-121.65
"675","La Ca▒ada Flintridge city",34.21,-118.2
"676","La Crescenta-Montrose",34.23,-118.24
"677","La Habra city",33.93,-117.95
"678","La Habra Heights city",33.96,-117.95
"679","La Honda",37.32,-122.27
"680","La Mesa city",32.77,-117.02
"681","La Mirada city",33.9,-118.01
"682","La Palma city",33.85,-118.04
"683","La Porte",39.67,-120.99
"684","La Presa",32.71,-117
"685","La Puente city",34.03,-117.95
"686","La Quinta city",33.65,-116.28
"687","La Riviera",38.57,-121.35
"688","La Selva Beach",36.93,-121.84
"689","La Verne city",34.12,-117.77
"690","La Vina",36.88,-120.11
"691","Ladera",37.4,-122.2
"692","Ladera Heights",34,-118.37
"693","Ladera Ranch",33.55,-117.64
"694","Lafayette city",37.89,-122.12
"695","Laguna Beach city",33.54,-117.76
"696","Laguna Hills city",33.59,-117.7
"697","Laguna Niguel city",33.53,-117.7
"698","Laguna Woods city",33.61,-117.73
"699","Lagunitas-Forest Knolls",38.02,-122.69
"700","Lake Almanor Country Club",40.26,-121.15
"701","Lake Almanor Peninsula",40.28,-121.13
"702","Lake Almanor West",40.23,-121.2
"703","Lake Arrowhead",34.25,-117.19
"704","Lake California",40.36,-122.21
"705","Lake City",41.65,-120.23
"706","Lake Davis",39.86,-120.46
"707","Lake Don Pedro",37.65,-120.34
"708","Lake Elsinore city",33.68,-117.33
"709","Lake Forest city",33.66,-117.67
"710","Lake Hughes",34.68,-118.46
"711","Lake Isabella",35.64,-118.48
"712","Lake Los Angeles",34.61,-117.83
"713","Lake Mathews",33.82,-117.37
"714","Lake Nacimiento",35.73,-120.87
"715","Lake of the Pines",39.04,-121.06
"716","Lake of the Woods",34.82,-119
"717","Lake Riverside",33.52,-116.81
"718","Lake San Marcos",33.12,-117.21
"719","Lake Sherwood",34.13,-118.88
"720","Lake Wildwood",39.24,-121.2
"721","Lakehead",40.9,-122.39
"722","Lakeland Village",33.65,-117.37
"723","Lakeport city",39.04,-122.92
"724","Lakeside",32.86,-116.9
"725","Lakeview",33.83,-117.12
"726","Lakewood city",33.85,-118.12
"727","Lamont",35.27,-118.92
"728","Lanare",36.44,-119.93
"729","Lancaster city",34.69,-118.18
"730","Larkfield-Wikiup",38.51,-122.75
"731","Larkspur city",37.94,-122.53
"732","Las Flores",33.58,-117.62
"733","Las Flores",40.07,-122.16
"734","Las Lomas",36.87,-121.73
"735","Lathrop city",37.82,-121.31
"736","Laton",36.43,-119.69
"737","Lawndale city",33.89,-118.35
"738","Laytonville",39.67,-123.49
"739","Le Grand",37.23,-120.25
"740","Lebec",34.84,-118.9
"741","Lee Vining",37.95,-119.12
"742","Leggett",39.86,-123.73
"743","Lemon Cove",36.38,-119.03
"744","Lemon Grove city",32.73,-117.03
"745","Lemon Hill",38.52,-121.46
